# IODP371 site U1510 synthetic model data (prefered model, fits lithology)
#Synthetic model	(Model contains ~8% chert (high Vp rock) below 150 m depth)			
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
105.1900	1750.3200	1.5720	0.1198	2.7507
106.5500	1743.6900	1.5670	0.1214	2.7332
108.1000	1744.7950	1.6040	0.1232	2.7978
109.1900	1730.4300	1.6320	0.1244	2.8244
110.1100	1718.2750	1.6560	0.1255	2.8461
111.5000	1729.3250	1.6240	0.1271	2.8080
112.9100	1708.3300	1.5850	0.1287	2.7080
114.3600	1744.7950	1.5770	0.1304	2.7515
115.7100	1721.5900	1.5770	0.1320	2.7149
117.0800	1714.9600	1.5730	0.1336	2.6981
118.4000	1760.2650	1.5680	0.1351	2.7594
119.5400	1735.9550	1.5630	0.1364	2.7128
121.0000	1737.0600	1.5790	0.1381	2.7423
122.3800	1768.0000	1.5970	0.1396	2.8226
123.9500	1752.5300	1.6080	0.1414	2.8185
125.2900	1769.1050	1.6170	0.1430	2.8601
126.8500	1733.7450	1.6200	0.1447	2.8093
128.1500	1735.9550	1.6220	0.1462	2.8154
129.1400	1786.7850	1.6230	0.1474	2.8998
130.6200	1745.9000	1.6010	0.1490	2.7950
132.1200	1744.7950	1.5770	0.1507	2.7523
133.7500	1849.7700	1.5640	0.1526	2.8926
138.6400	1752.5300	1.8160	0.1580	3.1829
140.1000	1788.9950	1.8380	0.1596	3.2876
141.5000	1769.1050	1.8540	0.1612	3.2808
142.9900	1775.7350	1.8490	0.1629	3.2831
144.3700	1782.3650	1.8400	0.1644	3.2798
145.8900	1756.9500	2.0160	0.1662	3.5417
147.1100	1840.9300	2.2000	0.1675	4.0494
168.6700	1758.0550	1.7870	0.1915	3.1412
169.3800	1754.7400	1.7860	0.1923	3.1333
177.6600	1836.5100	1.7730	0.2015	3.2564
179.4300	1843.1400	1.7990	0.2034	3.3158
180.0100	1802.2550	1.8070	0.2041	3.2571
186.6600	1813.3050	1.8640	0.2114	3.3801
205.9000	1932.6450	1.8710	0.2320	3.6150
207.6600	1927.1200	1.7920	0.2338	3.4534
274.6700	1909.4400	2.0130	0.3037	3.8445
303.2300	1944.8000	1.8600	0.3333	3.6173
311.4300	1765.7900	1.8540	0.3421	3.2739
313.1900	1877.3950	1.8620	0.3441	3.4965
314.4000	1832.0900	1.8670	0.3454	3.4213
315.1400	1898.3900	1.8640	0.3462	3.5383
321.1900	1743.6900	1.8520	0.3528	3.2297
322.5800	1785.6800	1.9860	0.3544	3.5458
330.8600	1794.5200	1.8160	0.3636	3.2582
331.7300	1764.6850	1.8130	0.3646	3.1999
340.0200	1738.1650	1.8060	0.3741	3.1388
341.7700	1774.6300	1.8000	0.3761	3.1937
343.2100	1742.5850	1.7910	0.3777	3.1201
343.5500	1771.3150	1.7880	0.3781	3.1678
344.7100	1784.5750	1.7860	0.3794	3.1881
352.9000	1774.6300	1.7640	0.3886	3.1306
354.7900	1759.1600	1.7650	0.3908	3.1049
355.8900	1747.0050	1.7700	0.3920	3.0919
359.4400	1692.8600	1.7850	0.3961	3.0219
369.2100	1716.0650	1.7940	0.4076	3.0785
370.6200	1695.0700	1.8540	0.4093	3.1424
371.8700	1727.1150	1.8820	0.4107	3.2507
373.6500	1759.1600	1.8980	0.4128	3.3392
374.7500	1765.7900	1.9080	0.4140	3.3693
378.9600	1712.7500	1.8770	0.4189	3.2148
380.3600	1753.6350	1.8550	0.4205	3.2530
382.0600	1750.3200	1.8410	0.4224	3.2223
383.2400	1745.9000	1.8440	0.4238	3.2201
385.1400	1759.1600	1.8500	0.4259	3.2541
385.9600	1787.8900	1.8320	0.4269	3.2756
388.0400	1710.5400	1.7900	0.4292	3.0622
397.6500	1733.7450	1.8360	0.4404	3.1830
399.0200	1742.5850	1.8500	0.4420	3.2237
407.2200	1761.3700	1.9430	0.4513	3.4227
408.8600	1835.4050	1.8910	0.4532	3.4700
410.1400	1734.8500	1.8780	0.4546	3.2576
411.1500	1844.2450	1.8680	0.4557	3.4444
417.1900	1932.6450	1.8490	0.4621	3.5736
417.9400	1931.5400	1.8810	0.4629	3.6340
419.2500	1901.7050	1.9270	0.4643	3.6650
429.0600	1859.7150	1.8560	0.4747	3.4511
430.0900	1899.4950	1.8830	0.4758	3.5767
435.6300	1819.9350	1.8830	0.4817	3.4271
437.0800	1884.0250	1.8940	0.4833	3.5678
437.7600	1825.4600	1.8990	0.4840	3.4660
438.1200	1892.8650	1.9020	0.4844	3.5994
445.8800	1954.7450	1.9840	0.4925	3.8789
447.6400	1859.7150	1.8890	0.4943	3.5121
448.2600	1870.7650	1.8550	0.4950	3.4698
450.4700	1840.9300	1.9830	0.4974	3.6511
451.0800	1808.8850	2.0530	0.4981	3.7131
454.9200	1811.0950	1.9050	0.5023	3.4510
457.4700	1834.3000	1.8860	0.5051	3.4604
458.1900	1848.6650	1.8870	0.5059	3.4878
459.4200	1886.2350	1.8870	0.5072	3.5592
459.8100	1994.5250	1.8880	0.5076	3.7649
464.3500	1865.2400	1.9560	0.5123	3.6481
466.3200	1954.7450	1.9510	0.5144	3.8142
468.0200	1902.8100	1.9270	0.5161	3.6676
468.3400	1943.6950	1.9350	0.5165	3.7601
473.8700	1948.1150	2.0570	0.5221	4.0070
475.1000	2108.3400	2.0750	0.5234	4.3739
475.9000	2151.4350	2.0770	0.5241	4.4687
477.1600	2156.9600	2.0810	0.5253	4.4887
477.6100	2165.8000	2.0820	0.5257	4.5101
478.1800	2195.6350	2.0830	0.5262	4.5743

