# IODP371 site U1509 synthetic model data
#Synthetic model				
depth_m_bsf	velocity_m/s	density_Mg/m3	two-way-travel-time_(ms)	impedance
519.1300	1870.5143	1.7386	0.5529	3.2522
522.2000	1878.8343	1.7366	0.5561	3.2628
524.9800	1881.5086	1.7369	0.5591	3.2680
529.9600	1882.1029	1.7447	0.5644	3.2837
531.2600	1884.9257	1.7476	0.5658	3.2940
534.2000	1898.4457	1.7413	0.5689	3.3057
538.3700	1918.9486	1.7371	0.5732	3.3334
541.0000	1931.4286	1.7682	0.5760	3.4152
547.5700	1939.6000	1.8162	0.5828	3.5227
550.9000	1939.7486	1.8156	0.5862	3.5219
553.1700	1947.1771	1.8285	0.5885	3.5604
557.2100	1955.3486	1.8095	0.5927	3.5383
560.5800	1941.3829	1.7908	0.5961	3.4765
564.1000	1941.6800	1.7943	0.5998	3.4839
567.1400	1952.0800	1.7943	0.6029	3.5025
570.1600	1958.3200	1.8014	0.6060	3.5277
572.7300	1969.9086	1.8064	0.6086	3.5584
576.6900	1980.0114	1.8027	0.6126	3.5693
577.5200	1980.4571	1.8034	0.6134	3.5715
579.4500	1994.7200	1.8057	0.6154	3.6018
580.9600	1988.7771	1.8046	0.6169	3.5890
582.5400	1976.8914	1.7997	0.6185	3.5578
583.6600	1972.8800	1.7942	0.6196	3.5397
584.3000	1969.6114	1.7913	0.6203	3.5282
585.7200	1965.8971	1.7887	0.6217	3.5164
586.8900	1966.4914	1.7903	0.6229	3.5205
588.0800	1969.3143	1.7920	0.6241	3.5290
589.8500	1968.8686	1.7896	0.6259	3.5234
591.7300	1975.2571	1.7859	0.6278	3.5276
592.5300	1974.5143	1.7861	0.6286	3.5268
593.5800	1974.5143	1.7890	0.6297	3.5323
595.6100	1976.2971	1.7953	0.6317	3.5480
597.3100	1982.8343	1.7948	0.6335	3.5588
598.3600	1987.1429	1.7950	0.6345	3.5669
600.4200	1999.0286	1.8024	0.6366	3.6031
601.6000	2003.3371	1.8069	0.6378	3.6199
603.2800	1999.9200	1.8080	0.6394	3.6159
604.3800	2000.9600	1.8057	0.6405	3.6131
605.5900	1997.9886	1.8022	0.6418	3.6007
606.1700	1991.6000	1.8012	0.6423	3.5873
608.1500	1987.5886	1.8010	0.6443	3.5796
615.1200	1974.8114	1.7798	0.6514	3.5147
616.0000	1971.3943	1.7725	0.6523	3.4942
616.8600	1961.7371	1.7658	0.6531	3.4640
624.3300	1950.8914	1.7593	0.6608	3.4322
625.4900	1940.9371	1.7598	0.6620	3.4157
625.8100	1937.0743	1.7598	0.6623	3.4089
626.0900	1930.0914	1.7598	0.6626	3.3965
636.2900	1934.6971	1.7530	0.6731	3.3915
643.7700	1921.1771	1.7523	0.6809	3.3665
646.2800	1921.0286	1.7627	0.6835	3.3862
649.8000	1924.5943	1.7640	0.6872	3.3950
651.9500	1922.6629	1.7581	0.6894	3.3803
652.7900	1925.4857	1.7540	0.6903	3.3774
655.7300	1924.2971	1.7513	0.6933	3.3701
658.4500	1917.7600	1.7527	0.6962	3.3612
662.5800	1922.2171	1.7626	0.7005	3.3882
665.4800	1927.4171	1.7644	0.7035	3.4007
668.1300	1929.3486	1.7696	0.7062	3.4143
670.8500	1928.7543	1.7660	0.7090	3.4062
672.4200	1921.0286	1.7626	0.7107	3.3861
675.2100	1917.1657	1.7563	0.7136	3.3671
678.1000	1918.0571	1.7353	0.7166	3.3284
681.5700	1912.8571	1.7294	0.7202	3.3080
684.3300	1908.9200	1.7250	0.7231	3.2928
687.1800	1902.9920	1.7250	0.7261	3.2826
689.0800	1906.8400	1.7250	0.7281	3.2893

