# IODP371 site U1510 seismic and synthetic trace data 
#(Rejected model due to poorer fit to lithology, included to show constraint on the twt to the base of the borehole)
time_series_(ms)	seismic_trace_data_(amplitude)	synthetic_trace_data_(amplitude)
1673.0000	-3.4800	-0.4943
1674.0000	-3.2500	-1.6353
1675.0000	-2.8400	-2.4228
1676.0000	-2.2500	-2.6869
1677.0000	-1.5800	-2.4369
1678.0000	-0.9830	-1.7976
1679.0000	-0.4810	-0.9087
1680.0000	-0.0178	0.1302
1681.0000	0.4720	1.2553
1682.0000	0.9730	2.3894
1683.0000	1.4000	3.3978
1684.0000	1.6900	4.0862
1685.0000	1.8500	4.2342
1686.0000	1.9400	3.6661
1687.0000	2.0200	2.3553
1688.0000	2.1000	0.4775
1689.0000	2.1300	-1.6094
1690.0000	2.0400	-3.4623
1691.0000	1.8500	-4.6797
1692.0000	1.5900	-5.0174
1693.0000	1.3300	-4.4749
1694.0000	1.0800	-3.2956
1695.0000	0.8420	-1.8731
1696.0000	0.5790	-0.6061
1697.0000	0.2820	0.2255
1698.0000	-0.0378	0.5418
1699.0000	-0.3750	0.4636
1700.0000	-0.6770	0.2312
1701.0000	-0.9760	0.0806
1702.0000	-1.2800	0.1383
1703.0000	-1.5500	0.3751
1704.0000	-1.7300	0.6379
1705.0000	-1.7500	0.7479
1706.0000	-1.5700	0.6130
1707.0000	-1.2600	0.2969
1708.0000	-0.9070	0.0091
1709.0000	-0.5740	0.0110
1710.0000	-0.2740	0.4772
1711.0000	0.0609	1.3753
1712.0000	0.5040	2.4292
1713.0000	1.0300	3.1926
1714.0000	1.4800	3.2184
1715.0000	1.6300	2.2654
1716.0000	1.3100	0.4338
1717.0000	0.5210	-1.8227
1718.0000	-0.5080	-3.8154
1719.0000	-1.4400	-4.8581
1720.0000	-2.0000	-4.5426
1721.0000	-2.0600	-2.9209
1722.0000	-1.7100	-0.4795
1723.0000	-1.1100	2.0165
1724.0000	-0.3900	3.7637
1725.0000	0.4370	4.2176
1726.0000	1.3800	3.3139
1727.0000	2.3600	1.4560
1728.0000	3.1800	-0.6660
1729.0000	3.5300	-2.3340
1730.0000	3.2100	-3.0291
1731.0000	2.2400	-2.5783
1732.0000	0.9090	-1.2383
1733.0000	-0.3760	0.4594
1734.0000	-1.3000	1.9387
1735.0000	-1.8100	2.7611
1736.0000	-2.0700	2.7122
1737.0000	-2.2900	1.8974
1738.0000	-2.5200	0.6515
1739.0000	-2.5900	-0.6209
1740.0000	-2.2700	-1.5911
1741.0000	-1.4400	-2.0621
1742.0000	-0.3100	-1.9896
1743.0000	0.7010	-1.4931
1744.0000	1.2200	-0.7790
1745.0000	1.1300	-0.0557
1746.0000	0.7030	0.5094
1747.0000	0.3370	0.8030
1748.0000	0.3360	0.7864
1749.0000	0.6980	0.5068
1750.0000	1.1700	0.0749
1751.0000	1.3900	-0.3656
1752.0000	1.2100	-0.6621
1753.0000	0.7150	-0.7049
1754.0000	0.1680	-0.4734
1755.0000	-0.1920	-0.0488
1756.0000	-0.2990	0.4141
1757.0000	-0.2690	0.7349
1758.0000	-0.2910	0.7663
1759.0000	-0.4730	0.4595
1760.0000	-0.7740	-0.0967
1761.0000	-1.0200	-0.7054
1762.0000	-1.0400	-1.1326
1763.0000	-0.7830	-1.1910
1764.0000	-0.3260	-0.8137
1765.0000	0.1670	-0.0892
1766.0000	0.5350	0.7611
1767.0000	0.7050	1.4605
1768.0000	0.7030	1.7795
1769.0000	0.6220	1.6224
1770.0000	0.5260	1.0609
1771.0000	0.4110	0.3030
1772.0000	0.2420	-0.3894
1773.0000	0.0054	-0.7982
1774.0000	-0.2510	-0.8261
1775.0000	-0.4340	-0.5241
1776.0000	-0.4730	-0.0610
1777.0000	-0.3750	0.3463
1778.0000	-0.2210	0.5207
1779.0000	-0.0946	0.3888
1780.0000	-0.0066	0.0002
1781.0000	0.1050	-0.5036
1782.0000	0.2890	-0.9496
1783.0000	0.5240	-1.1990
1784.0000	0.7250	-1.1910
1785.0000	0.7940	-0.9532
1786.0000	0.6720	-0.5798
1787.0000	0.3590	-0.1928
1788.0000	-0.0891	0.1032
1789.0000	-0.5470	0.2522
1790.0000	-0.8020	0.2549
1791.0000	-0.6480	0.1601
1792.0000	-0.0143	0.0423
1793.0000	0.8540	-0.0239
1794.0000	1.3800	0.0146
1795.0000	0.9120	0.1730
1796.0000	-0.7980	0.4202
1797.0000	-3.2700	0.6840
1798.0000	-5.3800	0.8666
1799.0000	-5.9600	0.8726
1800.0000	-4.5300	0.6420
1801.0000	-1.6800	0.1820
1802.0000	1.2500	-0.4115
1803.0000	3.0500	-0.9640
1804.0000	3.4000	-1.2717
1805.0000	3.0400	-1.1644
1806.0000	3.1600	-0.5680
1807.0000	4.3500	0.4403
1808.0000	6.1000	1.6292
1809.0000	7.0400	2.6837
1810.0000	5.9300	3.2948
1811.0000	2.6400	3.2481
1812.0000	-1.6600	2.4779
1813.0000	-5.1200	1.1384
1814.0000	-6.4500	-0.4577
1815.0000	-5.6400	-1.9423
1816.0000	-3.8100	-3.0056
1817.0000	-2.3000	-3.4690
1818.0000	-1.7600	-3.3081
1819.0000	-1.7900	-2.6305
1820.0000	-1.5400	-1.6517
1821.0000	-0.4750	-0.6021
1822.0000	1.1200	0.3385
1823.0000	2.3600	1.0697
1824.0000	2.5500	1.5624
1825.0000	1.7300	1.8249
1826.0000	0.5970	1.8796
1827.0000	-0.0628	1.7398
1828.0000	-0.0028	1.4090
1829.0000	0.3630	0.8988
1830.0000	0.3730	0.2494
1831.0000	-0.2260	-0.4537
1832.0000	-1.0700	-1.0829
1833.0000	-1.4900	-1.5036
1834.0000	-1.1200	-1.6177
1835.0000	-0.2160	-1.4018
1836.0000	0.5410	-0.9253
1837.0000	0.6090	-0.3380
1838.0000	0.0465	0.1714
1839.0000	-0.5600	0.4359
1840.0000	-0.5470	0.3705
1841.0000	0.2120	0.0061
1842.0000	1.2200	-0.5162
1843.0000	1.7600	-0.9934
1844.0000	1.4400	-1.2328
1845.0000	0.5080	-1.1234
1846.0000	-0.3650	-0.6738
1847.0000	-0.5930	-0.0147
1848.0000	-0.1150	0.6507
1849.0000	0.6130	1.1245
1850.0000	0.9450	1.2892
1851.0000	0.6270	1.1473
1852.0000	-0.1010	0.8117
1853.0000	-0.7060	0.4528
1854.0000	-0.7610	0.2198
1855.0000	-0.2330	0.1757
1856.0000	0.5110	0.2735
1857.0000	0.9620	0.3839
1858.0000	0.7810	0.3648
1859.0000	-0.0185	0.1379
1860.0000	-1.0700	-0.2646
1861.0000	-1.9000	-0.7038
1862.0000	-2.1400	-0.9905
1863.0000	-1.7100	-0.9676
1864.0000	-0.8480	-0.5837
1865.0000	0.0338	0.0770
1866.0000	0.5760	0.8156
1867.0000	0.6710	1.3960
1868.0000	0.4980	1.6354
1869.0000	0.3650	1.4724
1870.0000	0.4750	0.9761
1871.0000	0.7710	0.3075
1872.0000	0.9900	-0.3504
1873.0000	0.8730	-0.8573
1874.0000	0.3640	-1.1621
1875.0000	-0.3350	-1.3001
1876.0000	-0.8890	-1.3494
1877.0000	-1.0400	-1.3729
1878.0000	-0.7570	-1.3783
1879.0000	-0.1900	-1.3122
1880.0000	0.3910	-1.0917
1881.0000	0.7770	-0.6500
1882.0000	0.8620	0.0008
1883.0000	0.6470	0.7602
1884.0000	0.2260	1.4680
1885.0000	-0.2540	1.9580
1886.0000	-0.6210	2.1142
1887.0000	-0.7340	1.9089
1888.0000	-0.5480	1.4020
1889.0000	-0.1570	0.7299
1890.0000	0.2400	0.0662
1891.0000	0.4440	-0.4419
1892.0000	0.3760	-0.7120
1893.0000	0.1400	-0.7370
1894.0000	-0.0501	-0.5721
1895.0000	-0.0139	-0.3070
1896.0000	0.2590	-0.0343
1897.0000	0.5940	0.1756
1898.0000	0.7500	0.2846
1899.0000	0.5930	0.2905
1900.0000	0.1870	0.2182
1901.0000	-0.2670	0.1037
1902.0000	-0.5640	-0.0188
1903.0000	-0.6400	-0.1255
1904.0000	-0.5750	-0.2077
1905.0000	-0.4980	-0.2713
1906.0000	-0.4720	-0.3337
1907.0000	-0.4540	-0.4118
1908.0000	-0.3660	-0.5089
1909.0000	-0.1930	-0.6063
1910.0000	0.0041	-0.6627
1911.0000	0.1130	-0.6269
1912.0000	0.0921	-0.4628
1913.0000	0.0129	-0.1763
1914.0000	0.0076	0.1785
1915.0000	0.1560	0.5093
1916.0000	0.4110	0.7030
1917.0000	0.6250	0.6683
1918.0000	0.6580	0.3820
1919.0000	0.4830	-0.0874
1920.0000	0.1970	-0.5970
1921.0000	-0.0361	-0.9771
1922.0000	-0.1070	-1.0890
1923.0000	-0.0342	-0.8816
1924.0000	0.0613	-0.4144
1925.0000	0.0427	0.1626
1926.0000	-0.1540	0.6574
1927.0000	-0.4830	0.9088
1928.0000	-0.8140	0.8483
1929.0000	-1.0000	0.5259
1930.0000	-0.9140	0.0872
1931.0000	-0.5560	-0.2883
1932.0000	-0.0348	-0.4583
1933.0000	0.4600	-0.3702
1934.0000	0.7440	-0.0764
1935.0000	0.7410	0.2927
1936.0000	0.5370	0.5861
1937.0000	0.3390	0.6950
1938.0000	0.3400	0.5952
1939.0000	0.5710	0.3525
1940.0000	0.8630	0.0771
1941.0000	0.9540	-0.1291
1942.0000	0.6860	-0.2153
1943.0000	0.1270	-0.2019
1944.0000	-0.4550	-0.1634
1945.0000	-0.7790	-0.1842
1946.0000	-0.7460	-0.3097
1947.0000	-0.5100	-0.5179
1948.0000	-0.3500	-0.7270
1949.0000	-0.4510	-0.8316
1950.0000	-0.7600	-0.7531
1951.0000	-1.0300	-0.4778
1952.0000	-1.0100	-0.0692
1953.0000	-0.6280	0.3533
1954.0000	-0.0705	0.6614
1955.0000	0.4010	0.7653
1956.0000	0.6210	0.6455
1957.0000	0.6270	0.3570
1958.0000	0.5870	0.0095
1959.0000	0.6240	-0.2755
1960.0000	0.7000	-0.4083
1961.0000	0.6660	-0.3598
1962.0000	0.4110	-0.1678
1963.0000	-0.0064	0.0761
1964.0000	-0.3760	0.2538
1965.0000	-0.4970	0.2596
1966.0000	-0.3410	0.0423
1967.0000	-0.0679	-0.3664
1968.0000	0.1060	-0.8501
1969.0000	0.0833	-1.2235
1970.0000	-0.0519	-1.2764
1971.0000	-0.1250	-0.8496
1972.0000	-0.0328	0.0813
1973.0000	0.1640	1.3630
1974.0000	0.2900	2.6880
1975.0000	0.2100	3.6468
1976.0000	-0.0586	3.8518
1977.0000	-0.3590	3.0966
1978.0000	-0.5180	1.4832
1979.0000	-0.4700	-0.5842
1980.0000	-0.2900	-2.4979
1981.0000	-0.1070	-3.6097
1982.0000	-0.0027	-3.4711
1983.0000	0.0240	-2.0377
1984.0000	0.0264	0.2885
1985.0000	0.0551	2.7886
1986.0000	0.1330	4.6211
1987.0000	0.2690	5.1023
1988.0000	0.4690	3.9884
1989.0000	0.7180	1.5943
1990.0000	0.9590	-1.3318
1991.0000	1.0600	-3.8582
1992.0000	0.9000	-5.1710
1993.0000	0.4580	-4.8638
1994.0000	-0.1530	-3.0929
1995.0000	-0.7420	-0.5251
1996.0000	-1.1500	1.9136
1997.0000	-1.3200	3.3766
1998.0000	-1.3200	3.3737
1999.0000	-1.2200	1.9276
2000.0000	-1.0700	-0.4551
2001.0000	-0.8310	-2.9799
2002.0000	-0.4570	-4.8551
2003.0000	0.0321	-5.5472
2004.0000	0.5510	-4.9294
2005.0000	0.9830	-3.2821
2006.0000	1.2300	-1.1565
2007.0000	1.2400	0.8408
2008.0000	0.9940	2.2410
2009.0000	0.5390	2.8344
2010.0000	-0.0235	2.6892
2011.0000	-0.5300	2.0738
2012.0000	-0.8100	1.3150
2013.0000	-0.7650	0.6913
2014.0000	-0.4350	0.3556
2015.0000	0.0203	0.3202
2016.0000	0.4130	0.4952
2017.0000	0.6350	0.7507
2018.0000	0.7010	0.9719
2019.0000	0.7090	1.0879
2020.0000	0.7170	1.0763
2021.0000	0.7100	0.9468
2022.0000	0.6070	0.7208
2023.0000	0.3390	0.4137
2024.0000	-0.0700	0.0371
2025.0000	-0.4980	-0.3922
2026.0000	-0.7960	-0.8417
2027.0000	-0.8880	-1.2612
2028.0000	-0.8100	-1.5853
2029.0000	-0.6730	-1.7481
2030.0000	-0.5700	-1.7039
2031.0000	-0.5190	-1.4490
2032.0000	-0.4830	-1.0233
2033.0000	-0.4170	-0.5121
2034.0000	-0.3190	-0.0325
2035.0000	-0.2130	0.2937
2036.0000	-0.1030	0.3763
2037.0000	0.0631	0.1923
2038.0000	0.3440	-0.1932
2039.0000	0.7280	-0.6331
2040.0000	1.0900	-0.9310
2041.0000	1.2000	-0.9028
2042.0000	0.9300	-0.4468
2043.0000	0.3430	0.4028
2044.0000	-0.3230	1.4645
2045.0000	-0.7750	2.4495
2046.0000	-0.8440	3.0470
2047.0000	-0.5830	3.0255
2048.0000	-0.2120	2.3290
2049.0000	0.0437	1.1193
2050.0000	0.0645	-0.2591
2051.0000	-0.0454	-1.3828
2052.0000	-0.1000	-1.8960
2053.0000	0.0315	-1.6345
2054.0000	0.3310	-0.6849
2055.0000	0.6470	0.6314
2056.0000	0.8050	1.8518
2057.0000	0.7410	2.5331
2058.0000	0.5420	2.4103
2059.0000	0.3680	1.4679
2060.0000	0.3470	-0.0545
2061.0000	0.4020	-1.7356
2062.0000	0.3420	-3.1025
2063.0000	-0.0018	-3.7803
2064.0000	-0.6330	-3.6105
2065.0000	-1.3600	-2.6973
2066.0000	-1.9400	-1.3155
2067.0000	-2.1900	0.1640
2068.0000	-2.1500	1.3808
2069.0000	-1.9300	2.0775
2070.0000	-1.6200	2.1547
2071.0000	-1.1200	1.6760
2072.0000	-0.2780	0.8331
2073.0000	0.9990	-0.1295
2074.0000	2.5100	-0.9767
2075.0000	3.8200	-1.5214
2076.0000	4.4700	-1.6548
2077.0000	4.2400	-1.3643
2078.0000	3.2600	-0.7331
2079.0000	1.9000	0.0769
2080.0000	0.5260	0.8596
2081.0000	-0.6370	1.4221
2082.0000	-1.6100	1.6402
2083.0000	-2.4900	1.4919
2084.0000	-3.3200	1.0692
2085.0000	-3.9300	0.5523
2086.0000	-4.0900	0.1505
2087.0000	-3.5800	0.0250
2088.0000	-2.4400	0.2222
2089.0000	-0.9290	0.6535
2090.0000	0.5680	1.1280
2091.0000	1.6700	1.4239
2092.0000	2.2300	1.3802
2093.0000	2.3000	0.9558
2094.0000	2.0800	0.2512
2095.0000	1.7700	-0.5232
2096.0000	1.4700	-1.1250
2097.0000	1.2100	-1.3707
2098.0000	0.9790	-1.2067
2099.0000	0.7810	-0.7146
2100.0000	0.6260	-0.0811
2101.0000	0.5070	0.4704
2102.0000	0.3580	0.7545
2103.0000	0.1010	0.6814
2104.0000	-0.2860	0.2743
2105.0000	-0.7430	-0.3531
2106.0000	-1.1500	-1.0431
2107.0000	-1.4200	-1.6406
2108.0000	-1.5200	-2.0242
2109.0000	-1.5000	-2.1177
2110.0000	-1.4600	-1.8962
2111.0000	-1.3900	-1.3793
2112.0000	-1.2600	-0.6214
2113.0000	-0.9440	0.2888
2114.0000	-0.4130	1.2310
2115.0000	0.2700	2.0646
2116.0000	0.9360	2.6544
2117.0000	1.4000	2.8824
2118.0000	1.5400	2.6715
2119.0000	1.3900	1.9999
2120.0000	1.0800	0.9086
2121.0000	0.7540	-0.4999
2122.0000	0.4900	-2.0711
2123.0000	0.2720	-3.6065
2124.0000	0.0596	-4.8683
2125.0000	-0.1640	-5.6038
2126.0000	-0.3580	-5.5897
2127.0000	-0.4430	-4.6935
2128.0000	-0.3600	-2.9351
2129.0000	-0.1090	-0.5264
2130.0000	0.2100	2.1323
2131.0000	0.4740	4.5185
2132.0000	0.5840	6.1126
2133.0000	0.5110	6.5738
2134.0000	0.2930	5.8020
2135.0000	0.0049	3.9784
2136.0000	-0.2960	1.5205
2137.0000	-0.5930	-1.0304
2138.0000	-0.8990	-3.1509
2139.0000	-1.2000	-4.4861
2140.0000	-1.4300	-4.9247
2141.0000	-1.4600	-4.5850
2142.0000	-1.1600	-3.6865
2143.0000	-0.5330	-2.4525
2144.0000	0.3020	-1.0428
2145.0000	1.1300	0.4569
2146.0000	1.7800	1.9862
2147.0000	2.1700	3.4630
2148.0000	2.3100	4.7381
2149.0000	2.2300	5.5970
2150.0000	1.8900	5.8193
2151.0000	1.2600	5.2666
2152.0000	0.3350	3.9542
2153.0000	-0.7880	2.1032
2154.0000	-1.9000	0.0781
2155.0000	-2.7900	-1.7137
2156.0000	-3.3300	-2.9422
2157.0000	-3.4800	-3.4467
2158.0000	-3.2800	-3.2618
2159.0000	-2.7700	-2.5949
2160.0000	-1.9500	-1.7350
2161.0000	-0.8280	-0.9469
2162.0000	0.5080	-0.3916
2163.0000	1.8600	-0.0975
2164.0000	2.9600	0.0151
2165.0000	3.6400	0.0731
2166.0000	3.8400	0.1830
2167.0000	3.6100	0.3838
2168.0000	3.0800	0.6349
2169.0000	2.3800	0.8397
2170.0000	1.5000	0.8927
2171.0000	0.4960	0.7223
2172.0000	-0.5440	0.3233
2173.0000	-1.4800	-0.2338
2174.0000	-2.1500	-0.8194
2175.0000	-2.5100	-1.2842
2176.0000	-2.5900	-1.5072
2177.0000	-2.5000	-1.4258
2178.0000	-2.3200	-1.0564
2179.0000	-2.0400	-0.4922
2180.0000	-1.5900	0.1209
2181.0000	-0.9630	0.6253
2182.0000	-0.2200	0.9007
2183.0000	0.4930	0.8986
2184.0000	1.0300	0.6572
2185.0000	1.3100	0.2874
2186.0000	1.3900	-0.0685
2187.0000	1.3800	-0.2833
2188.0000	1.4200	-0.2916
2189.0000	1.5100	-0.1135
2190.0000	1.6200	0.1541
2191.0000	1.6200	0.3767
2192.0000	1.4200	0.4347
2193.0000	1.0200	0.2727
2194.0000	0.5450	-0.0747
2195.0000	0.1290	-0.4922
2196.0000	-0.1750	-0.8257
2197.0000	-0.4170	-0.9387
2198.0000	-0.6930	-0.7623
2199.0000	-1.0600	-0.3244
2200.0000	-1.4800	0.2516
2201.0000	-1.8300	0.7871
2202.0000	-2.0000	1.1074
2203.0000	-1.9400	1.1041
2204.0000	-1.6700	0.7669
2205.0000	-1.2900	0.1880
2206.0000	-0.8830	-0.4655
2207.0000	-0.4900	-1.0047
2208.0000	-0.1230	-1.2815
2209.0000	0.2220	-1.2361
2210.0000	0.5430	-0.9064
2211.0000	0.8320	-0.4103
2212.0000	1.0500	0.0980
2213.0000	1.1600	0.4812
2214.0000	1.1500	0.6618
2215.0000	1.0800	0.6386
2216.0000	0.9940	0.4745
2217.0000	0.9310	0.2614
2218.0000	0.8620	0.0773
2219.0000	0.7310	-0.0428
2220.0000	0.4800	-0.1122
2221.0000	0.1830	-0.1743
2222.0000	-0.0200	-0.2690
2223.0000	-0.0094	-0.4030
2224.0000	0.2130	-0.5352
2225.0000	0.5010	-0.5881
2226.0000	0.6470	-0.4811
2227.0000	0.5080	-0.1725
2228.0000	0.0906	0.3047
2229.0000	-0.4760	0.8412
2230.0000	-0.9920	1.2940
2231.0000	-1.3600	1.5250
2232.0000	-1.6000	1.4489
2233.0000	-1.7400	1.0728
2234.0000	-1.8300	0.5049
2235.0000	-1.8300	-0.0875
2236.0000	-1.6600	-0.5528
2237.0000	-1.2900	-0.7883
2238.0000	-0.7120	-0.7729
2239.0000	-0.0010	-0.5735
2240.0000	0.7400	-0.3167
2241.0000	1.3900	-0.1254
2242.0000	1.8400	-0.0731
2243.0000	2.0500	-0.1653
2244.0000	2.0300	-0.3393
2245.0000	1.8600	-0.4919
2246.0000	1.6300	-0.5329
2247.0000	1.4200	-0.4135
2248.0000	1.2500	-0.1449
2249.0000	1.0800	0.2015
2250.0000	0.8730	0.5177
2251.0000	0.6210	0.7053
2252.0000	0.3630	0.6960
2253.0000	0.1340	0.4725
2254.0000	-0.0900	0.0798
2255.0000	-0.3910	-0.3799
2256.0000	-0.8600	-0.7731
2257.0000	-1.5300	-0.9815
2258.0000	-2.3600	-0.9358
2259.0000	-3.1900	-0.6267
2260.0000	-3.8600	-0.1195
2261.0000	-4.1700	0.4560
2262.0000	-3.9900	0.9403
2263.0000	-3.2700	1.1959
2264.0000	-2.0800	1.1535
2265.0000	-0.6040	0.8365
2266.0000	0.9120	0.3544
2267.0000	2.2300	-0.1330
2268.0000	3.1900	-0.4687
2269.0000	3.7700	-0.5524
2270.0000	4.0200	-0.3756
2271.0000	3.9700	-0.0230
2272.0000	3.6000	0.3608
2273.0000	2.8600	0.6269
2274.0000	1.8200	0.6768
2275.0000	0.6370	0.4985
2276.0000	-0.3970	0.1603
2277.0000	-1.0400	-0.2225
2278.0000	-1.1900	-0.5361
2279.0000	-0.9410	-0.7105
2280.0000	-0.5360	-0.7399
2281.0000	-0.1700	-0.6726
2282.0000	0.0732	-0.5815
2283.0000	0.2110	-0.5224
2284.0000	0.2820	-0.5059
2285.0000	0.2750	-0.4950
2286.0000	0.1220	-0.4253
2287.0000	-0.2380	-0.2424
2288.0000	-0.7900	0.0649
2289.0000	-1.4300	0.4527
2290.0000	-2.0400	0.8327
2291.0000	-2.4800	1.0981
2292.0000	-2.7000	1.1629
2293.0000	-2.7100	0.9947
2294.0000	-2.4800	0.6227
2295.0000	-1.9900	0.1189
2296.0000	-1.2500	-0.4207
2297.0000	-0.3390	-0.8979
2298.0000	0.6060	-1.2349
2299.0000	1.4400	-1.3877
2300.0000	2.0300	-1.3503






