# IODP371 site U1511 synthetic model data
#Synthetic model	(drilled section where Vp and Rho are estimated, 80-200 m)			
depth_m_bsf	velocity_m/s	density_Mg/m3		two-way-travel-time_(ms)	impedance
110.0000	1550.2000	1.4224		0.1434	2.2050
115.0000	1555.7500	1.4262		0.1499	2.2188
120.0000	1561.9500	1.4304		0.1563	2.2342
125.0000	1568.8000	1.4350		0.1627	2.2512
130.0000	1576.3000	1.4400		0.1690	2.2699
135.0000	1584.4500	1.4454		0.1754	2.2902
140.0000	1593.2500	1.4512		0.1817	2.3121
145.0000	1602.7000	1.4574		0.1879	2.3358
150.0000	1612.8000	1.4640		0.1941	2.3611
155.0000	1623.5500	1.4710		0.2003	2.3882
160.0000	1634.9500	1.4784		0.2065	2.4171
165.0000	1647.0000	1.4862		0.2125	2.4478
170.0000	1659.7000	1.4944		0.2186	2.4803
175.0000	1673.0500	1.5030		0.2246	2.5146
180.0000	1687.0500	1.5120		0.2305	2.5508
185.0000	1701.7000	1.5214		0.2364	2.5890
190.0000	1717.0000	1.5312		0.2423	2.6291
195.0000	1732.9500	1.5414		0.2481	2.6712
200.0000	1749.5500	1.5520		0.2538	2.7153
203.5600	1651.6620	1.4886		0.2580	2.4587
204.8100	1676.4060	1.4729		0.2595	2.4692
205.7200	1654.7550	1.4622		0.2606	2.4196
206.3400	1664.0340	1.4555		0.2614	2.4220
207.0800	1666.0960	1.4483		0.2623	2.4130
208.3400	1665.0650	1.4374		0.2638	2.3933
208.7300	1668.1580	1.4343		0.2642	2.3926
221.3500	1700.1190	1.4037		0.2792	2.3865
222.3500	1639.2900	1.3927		0.2804	2.2830
222.9900	1648.5690	1.3835		0.2812	2.2808
225.0700	1649.6000	1.3488		0.2837	2.2250
226.8500	1652.6930	1.3225		0.2859	2.1856
227.6300	1658.8790	1.3131		0.2868	2.1782
228.8200	1641.3520	1.3085		0.2883	2.1477
230.6000	1653.7240	1.3101		0.2904	2.1666
231.0900	1620.7320	1.3070		0.2910	2.1183
232.5500	1631.0420	1.3078		0.2928	2.1330
233.8700	1635.1660	1.3166		0.2944	2.1529
235.3500	1633.1040	1.3334		0.2962	2.1776
236.5200	1627.9490	1.3485		0.2977	2.1953
237.8300	1620.7320	1.3659		0.2993	2.2138
239.3900	1639.2900	1.3901		0.3012	2.2788
240.2300	1668.1580	1.4047		0.3022	2.3432
240.7500	1637.2280	1.4324		0.3029	2.3451
241.9700	1645.4760	1.3715		0.3043	2.2567
245.8100	1632.0730	1.3332		0.3090	2.1758
246.4600	1648.5690	1.3262		0.3098	2.1864
247.8700	1617.6390	1.3094		0.3115	2.1181
249.4000	1650.6310	1.2935		0.3134	2.1351
250.4800	1677.4370	1.2953		0.3147	2.1728
251.6100	1676.4060	1.2940		0.3161	2.1692
253.0500	1648.5690	1.2927		0.3178	2.1311
255.3000	1671.2510	1.2968		0.3205	2.1672
256.4700	1649.6000	1.2983		0.3219	2.1417
257.7300	1647.5380	1.2978		0.3234	2.1382
259.4500	1666.0960	1.2957		0.3255	2.1587
260.6800	1616.6080	1.2934		0.3270	2.0910
261.1300	1643.4140	1.2959		0.3276	2.1298
263.6800	1627.9490	1.3102		0.3307	2.1329
265.0500	1683.6230	1.3078		0.3323	2.2019
266.0800	1669.1890	1.3061		0.3336	2.1801
267.2100	1626.9180	1.3048		0.3349	2.1229
268.4900	1668.1580	1.3040		0.3365	2.1753
269.8500	1592.8950	1.3025		0.3382	2.0747
271.1700	1625.8870	1.2892		0.3398	2.0961
272.8000	1588.7710	1.2707		0.3418	2.0189
274.2100	1631.0420	1.2701		0.3436	2.0715
275.6300	1625.8870	1.2703		0.3453	2.0653
277.2500	1631.0420	1.2682		0.3473	2.0685
278.3900	1623.8250	1.2666		0.3487	2.0568
279.6000	1630.0110	1.2650		0.3502	2.0620
280.5900	1611.4530	1.2635		0.3514	2.0361
282.0400	1626.9180	1.2626		0.3532	2.0541
283.6600	1631.0420	1.2660		0.3552	2.0649
284.8200	1633.1040	1.2691		0.3566	2.0725
288.6500	1630.0110	1.2771		0.3613	2.0816
289.7300	1614.5460	1.2793		0.3627	2.0655
291.6200	1634.1350	1.2820		0.3650	2.0950
293.0400	1639.2900	1.2809		0.3667	2.0997
294.7200	1648.5690	1.2786		0.3688	2.1078
298.5300	1611.4530	1.2754		0.3734	2.0553
300.2400	1635.1660	1.2730		0.3755	2.0816
301.7400	1617.6390	1.2701		0.3774	2.0546
303.1800	1620.7320	1.2667		0.3792	2.0531
303.8700	1640.3210	1.2651		0.3800	2.0751
308.0400	1616.6080	1.2603		0.3851	2.0375
310.2100	1624.8560	1.2615		0.3878	2.0497
311.3700	1602.1740	1.2616		0.3893	2.0213
312.0600	1657.8480	1.2614		0.3901	2.0912
317.2700	1677.4370	1.2595		0.3964	2.1127
319.2100	1642.3830	1.2584		0.3987	2.0668
320.3300	1643.4140	1.2578		0.4001	2.0670
321.1900	1648.5690	1.2572		0.4011	2.0726
327.5300	1625.8870	1.2514		0.4088	2.0347
329.1700	1631.0420	1.2732		0.4109	2.0766
330.3700	1617.6390	1.2869		0.4123	2.0818
331.6300	1628.9800	1.2870		0.4139	2.0965
333.0400	1645.4760	1.2863		0.4156	2.1165
334.8200	1630.0110	1.2879		0.4178	2.0994
336.4100	1646.5070	1.2901		0.4197	2.1241
338.5400	1657.8480	1.2764		0.4223	2.1160
339.8300	1621.7630	1.2644		0.4239	2.0505
341.3600	1626.9180	1.2675		0.4258	2.0621
342.6400	1634.1350	1.2709		0.4273	2.0768
343.7600	1650.6310	1.2724		0.4287	2.1002
346.3500	1672.2820	1.2754		0.4318	2.1327
347.0700	1642.3830	1.2767		0.4327	2.0968
347.9700	1657.8480	1.2788		0.4338	2.1201
348.6300	1632.0730	1.2806		0.4346	2.0901
349.6600	1632.0730	1.2837		0.4358	2.0950
351.0800	1673.3130	1.2891		0.4376	2.1570
352.5400	1670.2200	1.2947		0.4393	2.1624
353.5900	1663.0030	1.2960		0.4406	2.1553
355.0900	1681.5610	1.2939		0.4424	2.1758
355.6100	1697.0260	1.2910		0.4430	2.1908
357.9300	1701.1500	1.2919		0.4457	2.1977
359.0200	1690.8400	1.2973		0.4470	2.1935
360.5500	1687.7470	1.3115		0.4488	2.2135
362.1200	1705.2740	1.3260		0.4506	2.2612
364.0500	1689.8090	1.3360		0.4529	2.2577
364.5700	1665.0650	1.3377		0.4535	2.2273
366.0000	1707.3360	1.3400		0.4552	2.2878
367.4400	1737.2350	1.3393		0.4569	2.3268
368.4500	1738.2660	1.3390		0.4581	2.3275
370.6300	1755.7930	1.3429		0.4606	2.3579
372.2700	1743.4210	1.3464		0.4624	2.3473
373.2900	1727.9560	1.3461		0.4636	2.3261
374.6500	1753.7310	1.3421		0.4652	2.3538
375.0500	1722.8010	1.3363		0.4656	2.3023
375.9500	1705.2740	1.3244		0.4667	2.2584
376.6500	1710.4290	1.3256		0.4675	2.2673
377.6500	1720.7390	1.3295		0.4687	2.2877
378.7000	1717.6460	1.3351		0.4699	2.2933
380.0500	1752.7000	1.3432		0.4715	2.3542
382.1200	1738.2660	1.3582		0.4738	2.3609
382.8300	1740.3280	1.3690		0.4746	2.3825
384.0600	1723.8320	1.3914		0.4761	2.3986
384.4400	1744.4520	1.3939		0.4765	2.4316
385.6500	1700.1190	1.3919		0.4779	2.3664
386.9700	1700.1190	1.3810		0.4795	2.3479
388.1200	1690.8400	1.3716		0.4808	2.3192
389.6000	1711.4600	1.3575		0.4826	2.3234
391.4900	1716.6150	1.3526		0.4848	2.3219
392.5900	1749.6070	1.3657		0.4860	2.3894
393.7500	1741.3590	1.3839		0.4874	2.4100
394.4600	1683.6230	1.3945		0.4882	2.3477
397.9000	1686.7160	1.5312		0.4923	2.5827
398.4600	1677.4370	1.5470		0.4929	2.5950
400.2700	1666.0960	1.5723		0.4951	2.6195
403.7800	1814.5600	1.5993		0.4991	2.9021
403.9400	1814.5600	1.6039		0.4993	2.9104
403.9600	1684.6540	1.6060		0.4993	2.7056
404.8500	1898.0710	1.6651		0.5003	3.1605
404.9000	1818.6840	1.6648		0.5004	3.0277
404.9600	1927.9700	1.6644		0.5004	3.2089
413.0300	1894.9780	1.6410		0.5089	3.1097
413.5200	1687.7470	1.6371		0.5094	2.7631
415.9600	1661.9720	1.6117		0.5124	2.6785
416.6700	1644.4450	1.6142		0.5132	2.6545
418.3300	1649.6000	1.6369		0.5152	2.7003
419.5800	1615.5770	1.6558		0.5168	2.6750
421.0700	1676.4060	1.6677		0.5186	2.7957
422.1900	1615.5770	1.6753		0.5199	2.7067
422.9200	1680.5300	1.6802		0.5208	2.8236
424.8500	1610.4220	1.6919		0.5232	2.7247
426.8200	1644.4450	1.7016		0.5256	2.7983
428.3000	1644.4450	1.7013		0.5274	2.7977
429.3800	1660.9410	1.6968		0.5287	2.8183
430.5900	1644.4450	1.6882		0.5302	2.7762
431.9400	1703.2120	1.6663		0.5318	2.8380
432.2900	1726.9250	1.6624		0.5322	2.8708
432.3100	1651.6620	1.6622		0.5322	2.7454
433.3400	1699.0880	1.6579		0.5334	2.8169
433.8500	1694.9640	1.6565		0.5340	2.8078
436.3200	1716.6150	1.6543		0.5369	2.8398
436.9500	1686.7160	1.6543		0.5377	2.7904
442.0600	1707.3360	1.6668		0.5437	2.8458
442.4900	1658.8790	1.6695		0.5442	2.7695
443.6800	1792.9090	1.6938		0.5456	3.0368
445.0700	1799.0950	1.7262		0.5471	3.1057
447.1200	1684.6540	1.7374		0.5495	2.9270
448.6100	1760.9480	1.7390		0.5512	3.0624
448.8000	1752.7000	1.7364		0.5514	3.0434
449.7900	1801.1570	1.7353		0.5525	3.1255
451.6900	1766.1030	1.7263		0.5547	3.0488
453.9900	1694.9640	1.6958		0.5573	2.8743
455.8800	1798.0640	1.6706		0.5595	3.0038
457.5300	1742.3900	1.6782		0.5614	2.9241
459.8600	1803.2190	1.6959		0.5640	3.0581
460.8800	1841.3660	1.7318		0.5651	3.1889
461.1100	1887.7610	1.7705		0.5654	3.3423
462.5400	1799.0950	1.7875		0.5669	3.2158
463.3400	1840.3350	1.7913		0.5678	3.2966
464.2100	1792.9090	1.8166		0.5687	3.2571
464.9600	1805.2810	1.8314		0.5696	3.3062
465.8000	1815.5910	1.8457		0.5705	3.3510
471.7300	1821.7770	1.8547		0.5770	3.3788
472.7000	1785.6920	1.8608		0.5781	3.3228
474.0800	1800.1260	1.8419		0.5796	3.3156
475.7500	1821.7770	1.8365		0.5815	3.3457
477.2000	1755.7930	1.8259		0.5831	3.2059
478.9600	1773.3200	1.8022		0.5851	3.1958
479.5300	1808.3740	1.7795		0.5857	3.2181
480.1900	1776.4130	1.7825		0.5865	3.1665
482.3300	1750.6380	1.7800		0.5889	3.1162
489.7900	1702.1810	1.7496		0.5975	2.9781
490.4200	1766.1030	1.7437		0.5983	3.0795
490.6800	1730.0180	1.7578		0.5986	3.0411
499.5500	1789.8160	1.7620		0.6086	3.1537
500.3100	1767.1340	1.7630		0.6095	3.1155
508.9700	1744.4520	1.7784		0.6194	3.1023
509.8800	1728.9870	1.7802		0.6204	3.0780
510.0200	1742.3900	1.8040		0.6206	3.1432
510.2900	1690.8400	1.8057		0.6209	3.0531
528.0200	1784.6610	1.8059		0.6413	3.2229
538.1500	1737.2350	1.8063		0.6528	3.1379
538.6300	1796.0020	1.8062		0.6533	3.2439
538.7800	1742.3900	1.8379		0.6535	3.2023
548.2500	1832.0870	1.8393		0.6641	3.3698
549.3600	1815.5910	1.8397		0.6653	3.3402
549.8300	1815.5910	1.8614		0.6658	3.3795
550.5800	1839.3040	1.8704		0.6667	3.4402
550.9800	1828.9940	1.8754		0.6671	3.4300
558.2500	1807.3430	1.8809		0.6751	3.3994
558.9300	1832.0870	1.8822		0.6758	3.4484
559.9300	1868.1720	1.9022		0.6769	3.5536
560.5400	1864.0480	1.9046		0.6776	3.5502
